iter	Passed	Remaining
225	347	1189
226	348	1185
227	348	1181
228	349	1177
229	352	1181
230	354	1178
231	355	1176
232	356	1174
233	357	1171
234	358	1168
235	359	1164
236	360	1160
237	361	1156
238	361	1152
239	362	1148
240	363	1145
241	364	1141
242	365	1139
243	366	1136
244	367	1133
245	368	1130
246	369	1127
247	370	1124
248	371	1121
249	372	1117
250	373	1114
251	374	1111
252	375	1108
253	376	1105
254	377	1102
255	378	1099
256	379	1097
257	380	1094
258	382	1095
259	384	1093
260	385	1091
261	386	1088
262	387	1085
263	388	1082
264	388	1078
265	389	1075
266	390	1072
267	391	1069
268	392	1066
269	393	1063
270	394	1060
271	394	1056
272	396	1054
273	397	1052
274	398	1049
275	399	1047
276	400	1045
277	401	1042
278	402	1040
279	403	1037
280	404	1034
281	405	1032
282	406	1029
283	407	1027
284	408	1024
285	409	1021
286	410	1018
287	411	1016
288	412	1013
289	412	1011
290	413	1008
291	414	1005
292	415	1002
293	416	1000
294	417	997
295	418	994
296	419	992
297	420	989
298	420	986
299	421	984
300	422	981
301	423	978
302	424	976
303	425	974
304	426	971
305	427	969
306	428	967
307	429	964
308	430	962
309	431	959
310	432	957
311	433	954
312	433	952
313	434	949
314	435	947
315	436	945
316	437	943
317	438	940
318	439	938
319	440	936
320	441	933
321	442	931
322	443	928
323	444	926
324	444	924
325	445	921
326	446	919
327	447	917
328	448	914
329	449	912
330	450	910
331	451	908
332	452	905
333	453	903
334	454	901
335	455	899
336	457	900
337	458	898
338	459	896
339	460	893
340	461	891
341	462	889
342	463	887
343	464	884
344	464	882
345	466	880
346	467	878
347	467	876
348	468	874
349	469	872
350	475	878
351	476	877
352	477	875
353	478	873
354	479	870
355	480	868
356	481	866
357	482	864
358	483	862
359	483	860
360	484	857
361	486	856
362	487	854
363	488	852
364	489	850
365	490	848
366	490	846
367	491	844
368	492	842
369	493	840
370	494	838
371	495	836
372	496	834
373	497	832
374	498	831
375	499	829
376	500	827
377	501	825
378	502	823
379	503	821
380	504	819
381	505	817
382	506	815
383	507	813
384	507	811
385	509	809
386	509	807
387	510	805
388	511	803
389	512	801
390	513	799
391	514	797
392	515	795
393	516	794
394	517	792
395	518	790
396	518	788
397	519	786
398	520	784
399	521	782
400	522	780
401	523	778
402	524	776
403	525	775
404	526	773
405	527	771
406	528	769
407	528	767
408	529	765
409	530	763
410	531	761
411	532	759
412	533	757
413	534	756
414	534	754
415	535	752
416	536	750
417	537	748
418	538	746
419	539	744
420	540	743
421	541	741
422	541	739
423	542	737
424	543	735
425	544	733
426	545	731
427	546	730
428	547	728
429	547	726
430	548	724
431	549	722
432	550	720
433	551	718
434	552	717
435	553	715
436	553	713
437	554	711
438	555	710
439	556	708
440	557	706
441	558	704
442	559	702
443	559	701
444	560	699
445	561	697
446	562	695
447	563	694
448	564	692
449	565	690
450	566	689
451	566	687
452	567	685
453	568	683
454	569	681
455	570	680
456	571	678
457	571	676
458	572	675
459	573	673
460	574	671
461	575	670
462	577	669
463	578	667
464	579	666
465	580	664
466	581	663
467	582	661
468	582	660
469	583	658
470	584	656
471	585	654
472	586	653
473	587	651
474	588	650
475	589	648
476	590	646
477	590	645
478	591	643
479	593	642
480	594	641
481	595	639
